quarter,department,budget_allocated,amount_spent,headcount
2025-Q1,Engineering,500000.0,452098.26,45
2025-Q1,Sales,300000.0,257766.24,30
2025-Q1,Marketing,180000.0,178063.73,15
2025-Q1,Support,120000.0,100660.01,20
2025-Q1,Operations,150000.0,143899.4,18
2025-Q2,Engineering,520000.0,475841.14,45
2025-Q2,Sales,312000.0,260544.87,30
2025-Q2,Marketing,187200.0,178201.91,15
2025-Q2,Support,124800.0,103552.66,20
2025-Q2,Operations,156000.0,145508.67,18
2025-Q3,Engineering,540000.0,452607.7,46
2025-Q3,Sales,324000.0,273321.66,31
2025-Q3,Marketing,194400.0,180864.9,16
2025-Q3,Support,129600.0,134133.61,21
2025-Q3,Operations,162000.0,138054.54,19
2025-Q4,Engineering,560000.0,491703.59,46
2025-Q4,Sales,336000.0,330332.57,31
2025-Q4,Marketing,201600.0,214987.11,16
2025-Q4,Support,134400.0,130374.29,21
2025-Q4,Operations,168000.0,155087.0,19
2026-Q1,Engineering,580000.0,622819.27,47
2026-Q1,Sales,348000.0,289574.8,32
2026-Q1,Marketing,208800.0,217820.54,17
2026-Q1,Support,139200.0,124625.54,22
2026-Q1,Operations,174000.0,149206.1,20
2026-Q2,Engineering,600000.0,510375.59,47
2026-Q2,Sales,360000.0,324073.9,32
2026-Q2,Marketing,216000.0,222953.66,17
2026-Q2,Support,144000.0,124846.4,22
2026-Q2,Operations,180000.0,174818.89,20
